Folder Path,Image 1,Image 2,Sort Order,Proposed Front,Proposed Back,Proposal Basis
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-93,CM-YX-93 Back.webp,CM-YX-93.webp,alphabetical (numeric-aware),CM-YX-93.webp,CM-YX-93 Back.webp,"""CM-YX-93 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-94,CM-YX-94 Front.webp,CM-YX-94.webp,alphabetical (numeric-aware),CM-YX-94 Front.webp,CM-YX-94.webp,"""CM-YX-94 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-95,CM-YX-95 Back.webp,CM-YX-95.webp,alphabetical (numeric-aware),CM-YX-95.webp,CM-YX-95 Back.webp,"""CM-YX-95 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-96,CM-YX-96 Back.webp,CM-YX-96.webp,alphabetical (numeric-aware),CM-YX-96.webp,CM-YX-96 Back.webp,"""CM-YX-96 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-97,CM-YX-97 Front.webp,CM-YX-97.webp,alphabetical (numeric-aware),CM-YX-97 Front.webp,CM-YX-97.webp,"""CM-YX-97 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-98,CM-YX-98 Back.webp,CM-YX-98.webp,alphabetical (numeric-aware),CM-YX-98.webp,CM-YX-98 Back.webp,"""CM-YX-98 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-99,CM-YX-99 Front.webp,CM-YX-99.webp,alphabetical (numeric-aware),CM-YX-99 Front.webp,CM-YX-99.webp,"""CM-YX-99 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Single Script Art Red / CM-PR-03,CM-PR-03 Back.webp,CM-PR-03.webp,alphabetical (numeric-aware),CM-PR-03.webp,CM-PR-03 Back.webp,"""CM-PR-03 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Single Script Art Red / CM-PR-08,CM-PR-08 Front.webp,CM-PR-08.webp,alphabetical (numeric-aware),CM-PR-08 Front.webp,CM-PR-08.webp,"""CM-PR-08 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Single Script Art Red / CM-PR-11,CM-PR-11 Front.webp,CM-PR-11.webp,alphabetical (numeric-aware),CM-PR-11 Front.webp,CM-PR-11.webp,"""CM-PR-11 Front.webp"" is marked front"
