legacy_set_id,legacy_name,legacy_year,legacy_main_set_id,legacy_main_set_name,legacy_card_count,suggested_canonical_set_id,suggested_canonical_name,suggested_confidence,reason
1530,"marvel 2022 ultra avengers 1st appearances",2022,64,"Marvel 2022 Ultra Avengers ",15,4332,"2022 Fleer Ultra Marvel Avengers - 1st Appearances",86,token_overlap_86%
2224,"Marvel 2025 Topps Chrome Golden Anniversaries",2025,80,"Marvel 2025 Topps Chrome",15,6506,"2025 Topps Chrome Marvel - Golden Anniversaries",100,token_overlap_100%
1247,"marvel 1996 fleer vision Tattoos",1996,33,"Marvel 1996 Fleer Vision ",15,2283,"1996 Fleer/SkyBox Marvel Vision - Marvel Vision Tattoos",83,token_overlap_83%
1408,"marvel 2021 upper deck annual backscatters",2021,,,15,4289,"2021-22 Upper Deck Marvel Annual - Backscatters",86,token_overlap_86%
1587,"marvel 2022 upper deck annual backscatters",2022,,,15,4537,"2022-23 Upper Deck Marvel Annual - Backscatters",86,token_overlap_86%
1588,"marvel 2022 upper deck annual backscatters Gold",2022,,,15,4538,"2022-23 Upper Deck Marvel Annual - Backscatters Gold",93,subset_term_match_93%
1920,"marvel 2024 skybox masterpieces xl holofoil Kaleidoscope",2024,73,"Marvel 2024 Skybox Masterpieces XL ",15,5644,"2024 SkyBox Marvel Masterpieces XL - Holofoil Kaleidoscope",100,token_overlap_100%
1921,"marvel 2024 skybox masterpieces xl holofoil Speckle",2024,73,"Marvel 2024 Skybox Masterpieces XL ",15,5645,"2024 SkyBox Marvel Masterpieces XL - Holofoil Speckle",100,token_overlap_100%
2069,"marvel 2024 upper deck spider man metal card",2024,,,15,6121,"2024 Upper Deck Marvel Spider-Man - Metal",93,subset_term_match_93%
1083,"2024 skybox metal universe avengers geodes",2024,4,"2024 Skybox Metal Universe Avengers ",15,5667,"2024 SkyBox Metal Universe Marvel Avengers - Geodes",91,subset_term_match_91%
1531,"marvel 2022 ultra avengers 1st appearances Blue Foil",2022,64,"Marvel 2022 Ultra Avengers ",15,4333,"2022 Fleer Ultra Marvel Avengers - 1st Appearances Blue Foil",94,subset_term_match_94%
1532,"marvel 2022 ultra avengers 1st appearances Burgundy Foil",2022,64,"Marvel 2022 Ultra Avengers ",15,4334,"2022 Fleer Ultra Marvel Avengers - 1st Appearances Burgundy Foil",94,subset_term_match_94%
1533,"marvel 2022 ultra avengers 1st appearances Gold Spectrum Foil",2022,64,"Marvel 2022 Ultra Avengers ",15,4335,"2022 Fleer Ultra Marvel Avengers - 1st Appearances Gold Spectrum Foil",99,subset_term_match_100%
1534,"marvel 2022 ultra avengers 1st appearances Green Foil",2022,64,"Marvel 2022 Ultra Avengers ",15,4336,"2022 Fleer Ultra Marvel Avengers - 1st Appearances Green Foil",94,subset_term_match_94%
1535,"marvel 2022 ultra avengers 1st appearances Orange Foil",2022,64,"Marvel 2022 Ultra Avengers ",15,4337,"2022 Fleer Ultra Marvel Avengers - 1st Appearances Orange Foil",94,subset_term_match_94%
1537,"marvel 2022 ultra avengers 1st appearances Red Foil",2022,64,"Marvel 2022 Ultra Avengers ",15,4342,"2022 Fleer Ultra Marvel Avengers - 1st Appearances Red Foil",94,subset_term_match_94%
1836,"marvel 2023 upper deck what if jambalaya",2023,70,"Marvel 2023 Upper Deck What If ",15,5492,"2023 Upper Deck Marvel What If…? - Jambalaya",100,token_overlap_100%
1849,"marvel 2023 upper deck what if the watcher's sight lenticular",2023,70,"Marvel 2023 Upper Deck What If ",15,6873,"2023 Upper Deck Marvel What If…? - The Watcher's Sight Lenticulars",90,token_overlap_90%
1911,"marvel 2024 skybox masterpieces xl battle spectrum Gems",2024,73,"Marvel 2024 Skybox Masterpieces XL ",14,5640,"2024 SkyBox Marvel Masterpieces XL - Battle Spectrum Gems",99,subset_term_match_105%
1828,"marvel 2023 upper deck what if frozen in time",2023,70,"Marvel 2023 Upper Deck What If ",14,6865,"2023 Upper Deck Marvel What If…? - Frozen in Time",100,token_overlap_100%
1829,"marvel 2023 upper deck what if frozen in time Cosmic",2023,70,"Marvel 2023 Upper Deck What If ",14,6866,"2023 Upper Deck Marvel What If…? - Frozen in Time Cosmic",100,token_overlap_100%
1830,"marvel 2023 upper deck what if frozen in time Cosmic Black Hole",2023,70,"Marvel 2023 Upper Deck What If ",14,6867,"2023 Upper Deck Marvel What If…? - Frozen in Time Cosmic Black Hole",99,subset_term_match_105%
1276,"marvel 1998 the silver age sketchagraph",1998,42,"Marvel 1998 The Silver Age ",13,2772,"1998 SkyBox Marvel: The Silver Age",88,subset_term_match_88%
2100,"marvel 2024 upper deck studios marquees Gold",2024,77,"Marvel 2024 Upper Deck Studios ",13,6171,"2024 Upper Deck Marvel Studios Series 1 - Marquees Gold",93,subset_term_match_93%
2101,"marvel 2024 upper deck studios marquees Printing Plate",2024,77,"Marvel 2024 Upper Deck Studios ",13,6232,"2024 Upper Deck Marvel Unbound - Printing Plate Black",83,subset_term_match_83%
1063,"1995 fleer dc vs marvel holo fx",1995,2,"1995 Fleer DC vs Marvel ",12,2696,"1995 Fleer DC vs. Marvel Comics - Holo F/X",86,token_overlap_86%
2203,"Marvel 2024 Upper Deck Women of Marvel Alternate Universe",2024,,,12,6255,"2024 Upper Deck Women of Marvel - Alternate Universe",100,token_overlap_100%
1198,"marvel 1995 flair chromium",1995,23,"Marvel 1995 Flair ",12,2688,"1995 Flair Marvel Annual - Chromium",80,token_overlap_80%
1199,"marvel 1995 flair holoblast",1995,23,"Marvel 1995 Flair ",12,2691,"1995 Flair Marvel Annual - HoloBlast",80,token_overlap_80%
1538,"marvel 2022 ultra avengers 3x3",2022,64,"Marvel 2022 Ultra Avengers ",12,4331,"2022 Fleer Ultra Marvel Avengers",80,token_overlap_80%
1668,"marvel 2023 fleer ultra wolverine pop culture SP",2023,66,"Marvel 2023 Fleer Ultra Wolverine ",12,4814,"2023 Fleer Ultra Marvel Wolverine - Pop Culture",88,token_overlap_88%
1272,"marvel 1998 the silver age autograph",1998,42,"Marvel 1998 The Silver Age ",11,2772,"1998 SkyBox Marvel: The Silver Age",86,subset_term_match_86%
1814,"marvel 2023 upper deck platinum White Rainbow",2023,69,"Marvel 2023 Upper Deck Platinum",11,5288,"2023 Upper Deck Marvel Platinum - White Rainbow",100,token_overlap_100%
1554,"marvel 2022 ultra avengers earth's mightiest Gold Spectrum Foil",2022,64,"Marvel 2022 Ultra Avengers ",10,4380,"2022 Fleer Ultra Marvel Avengers - Gold Spectrum Foil",88,subset_term_match_88%
1989,"marvel 2024 topps chrome giant size chrome 50th anniversary Gold Refractor",2024,74,"Marvel 2024 Topps Chrome ",10,2428,"2024 Topps Chrome Marvel - Marvel Giant-Sized 50th Anniversary Gold Refractor",99,subset_term_match_100%
